home;away;weight1;weight2
Grêmio;São Paulo;0.0;1.0
Atlético-GO;Internacional;4.0;6.0
Grêmio;Juventude;0.0;0.0
Vasco da Gama;Botafogo;1.0;4.0
Afogados;Ponte Preta;5.0;6.0
América-MG;Ferroviária;0.0;1.0
Fluminense;Figueirense FC;1.0;3.0
CRB;Cruzeiro;1.0;1.0
Paraná;Botafogo;3.0;6.0
EC Vitória;Ceará SC;5.0;6.0
Brusque;Brasil Pelotas;0.0;0.0
EC São José;Atlético-GO;2.0;3.0
Botafogo;Paraná;1.0;0.0
Juventude;América-RN;2.0;2.0
Figueirense FC;Fluminense;3.0;3.0
Ferroviária;América-MG;1.0;4.0
Cruzeiro;CRB;3.0;4.0
Atlético-GO;EC São José;1.0;3.0
Ceará SC;EC Vitória;3.0;0.0
Ponte Preta;Afogados;0.0;0.0
Brasil Pelotas;Brusque;2.0;6.0
Vasco da Gama;Goiás;2.0;3.0
Vitória-ES;Figueirense FC;1.0;3.0
Brusque;Remo;1.0;0.0
Paraná;AD Bahia-BA;2.0;0.0
Ferroviária;Águia Negra;2.0;0.0
Fluminense;Botafogo-PB;0.0;0.0
Santo André;Goiás;2.0;3.0
Brasil Pelotas;Manaus FC;0.0;0.0
EC Vitória;Lagarto;1.0;0.0
Operário-PR;América-MG;2.0;3.0
Vasco da Gama;ABC FC;0.0;1.0
Coruripe;Juventude;0.0;1.0
Santo André;Criciúma EC;1.0;0.0
Operário VG;Santa Cruz;0.0;1.0
XV Piracicaba;Londrina-PR;0.0;0.0
Vilhenense;Boa Esporte;1.0;1.0
Atl. Alagoinhas;Botafogo-PB;0.0;1.0
Barbalha;Operário-PR;3.0;3.0
São Luiz;América-RN;0.0;1.0
AD Bahia-BA;Luverdense;1.0;0.0
Independente-PA;CRB;3.0;3.0
Santos-AP;América-MG;1.0;1.0
River-PI;EC Bahia;0.0;0.0
Palmas;Paraná;2.0;3.0
Aquidauanense;ABC FC;1.0;3.0
Caxias-RS;Botafogo;1.0;1.0
Fast;Goiás;2.0;3.0
Novorizontino;Figueirense FC;2.0;3.0
Brasiliense;Paysandu;1.0;1.0
Vitória-ES;CSA;1.0;0.0
União Rond.;Atlético-GO;1.0;3.0
Imperatriz;EC Vitória;0.0;1.0
Bragantino-PA;Ceará SC;2.0;3.0
Brusque;Sport Recife;1.0;0.0
Altos;Vasco da Gama;1.0;1.0
Bangu-RJ;Oeste;1.0;1.0
Freipaulistano;Remo;2.0;3.0
SE Gama;Brasil Pelotas;3.0;1.0
Caucaia-CE;EC São José;2.0;3.0
Toledo;Náutico;2.0;3.0
Campinense-PB;Atlético-MG;0.0;1.0
Águia Negra;Sampaio Corrêa;1.0;0.0
Moto Club;Fluminense;4.0;3.0
Galvez;Vila Nova FC;1.0;3.0
Manaus FC;Coritiba FC;0.0;0.0
Lagarto;Volta Redonda;0.0;0.0
Ferroviária;Avaí FC;0.0;0.0
Novo Hamburgo;Ponte Preta;2.0;3.0
Afogados;Atl. Acreano;0.0;0.0
Boavista;Chapecoense;2.0;3.0
São Raimundo-RR;Cruzeiro;3.0;2.0
Palmeiras;Grêmio;0.0;0.0
Grêmio;Palmeiras;3.0;6.0
São Paulo;Grêmio;1.0;4.0
América-MG;Palmeiras;3.0;4.0
Ceará SC;Palmeiras;5.0;4.0
São Paulo;Flamengo;5.0;6.0
Flamengo;São Paulo;6.0;6.0
Internacional;América-MG;1.0;3.0
Cuiabá-MT;Botafogo;0.0;1.0
Internacional;Atlético-GO;2.0;0.0
Ceará SC;Santos;0.0;1.0
América-MG;Corinthians;1.0;1.0
Juventude;Grêmio;2.0;6.0
Botafogo;Cuiabá-MT;1.0;4.0
Santos;Ceará SC;1.0;4.0
Athletico-PR;Flamengo;7.0;11.0
Corinthians;América-MG;2.0;4.0
RB Bragantino;Palmeiras;4.0;6.0
Brusque;Ceará SC;7.0;6.0
Fluminense;Atlético-GO;3.0;3.0
Botafogo;Vasco da Gama;0.0;1.0
Palmeiras;América-MG;1.0;1.0
Cuiabá-MT;Grêmio;4.0;6.0
Palmeiras;RB Bragantino;1.0;0.0
CRB;Juventude;2.0;3.0
Ceará SC;Brusque;1.0;0.0
Atlético-GO;Fluminense;2.0;3.0
Ponte Preta;América-MG;5.0;4.0
Juventude;CRB;1.0;3.0
Grêmio;Cuiabá-MT;1.0;0.0
Flamengo;Athletico-PR;7.0;5.0
Fortaleza;São Paulo;8.0;3.0
América-MG;Ponte Preta;3.0;1.0
Palmeiras;Ceará SC;2.0;1.0
América-MG;Internacional;1.0;3.0
São Paulo;Fortaleza;10.0;6.0
América-RN;Juventude;2.0;2.0
Goiás;Vasco da Gama;2.0;3.0
Paysandu;CRB;3.0;4.0
Náutico;Botafogo;1.0;1.0
Oeste;Ceará SC;1.0;1.0
XV Piracicaba;Juventude;1.0;1.0
River-PI;América-RN;1.0;1.0
Afogados;Atlético-MG;2.0;1.0
EC São José;Chapecoense;0.0;1.0
Ponte Preta;Vila Nova FC;0.0;1.0
Boa Esporte;Cruzeiro;1.0;1.0
Atlético-GO;Santa Cruz;1.0;1.0
Atlético-MG;Athletico-PR;1.0;0.0
Fortaleza;Atlético-MG;6.0;6.0
ABC FC;Chapecoense;2.0;1.0
EC Bahia;Vila Nova FC;3.0;3.0
Athletico-PR;Avaí FC;0.0;0.0
Palmeiras;CRB;2.0;4.0
Juazeirense;Cruzeiro;0.0;0.0
Criciúma EC;América-MG;3.0;4.0
Ceará SC;Fortaleza;3.0;4.0
Vila Nova FC;EC Bahia;4.0;7.0
Chapecoense;ABC FC;2.0;3.0
Fortaleza;Ceará SC;4.0;4.0
América-MG;Criciúma EC;1.0;4.0
Avaí FC;Athletico-PR;3.0;2.0
Corinthians;Retrô;2.0;4.0
Luverdense;RB Bragantino;2.0;3.0
Coritiba FC;Operário-PR;2.0;0.0
Fortaleza;Ypiranga-RS;0.0;0.0
Picos;Boavista;1.0;3.0
Juazeirense;Volta Redonda;3.0;1.0
EC Vitória;Rio Branco-ES;0.0;0.0
EC Bahia;Manaus FC;1.0;0.0
Tombense;Vasco da Gama;2.0;3.0
Criciúma EC;Ponte Preta;1.0;1.0
Vila Nova FC;Juventude;1.0;1.0
Cianorte;Santa Cruz;0.0;0.0
CSA;Remo;1.0;1.0
América-MG;Ferroviário;1.0;1.0
ABC FC;Botafogo;1.0;1.0
América-RN;Cruzeiro;1.0;3.0
4 de Julho;Cuiabá-MT;0.0;1.0
Avaí FC;FC Cascavel;0.0;0.0
Joinville-SC;Atlético-GO;2.0;3.0
Águia Negra;EC Vitória;1.0;3.0
Campinense-PB;EC Bahia;7.0;3.0
Madureira;Paysandu;1.0;3.0
4 de Julho;Confiança;0.0;0.0
Rio Branco-ES;Sampaio Corrêa;1.0;0.0
Cianorte;Paraná;0.0;0.0
Juazeirense;Sport Recife;2.0;0.0
Moto Club;Botafogo;5.0;3.0
Real Brasília;América-RN;2.0;3.0
Uberlândia;Luverdense;1.0;1.0
SE Gama;Ponte Preta;2.0;3.0
Boavista;Goiás;1.0;0.0
Sergipe;Cuiabá-MT;0.0;1.0
Murici;Juventude;3.0;3.0
Rio Branco VN;ABC FC;1.0;1.0
Castanhal;Volta Redonda;3.0;3.0
Guarany Sobral;CSA;5.0;3.0
Sociedade Esportiva Juventude (MA);Operário-PR;2.0;3.0
Picos;Atl. Acreano;0.0;0.0
Nova Mutum;Tombense;0.0;1.0
Galvez;Atlético-GO;3.0;3.0
Atl. Alagoinhas;Vila Nova FC;3.0;3.0
Retrô;Brusque;0.0;0.0
Caxias-RS;Fortaleza;1.0;3.0
Esportivo;Remo;2.0;3.0
Santa Cruz-RS;Joinville-SC;0.0;1.0
Salgueiro;Corinthians;3.0;3.0
Marília;Criciúma EC;0.0;1.0
Treze;América-MG;1.0;3.0
U. Rondonópolis;Coritiba FC;1.0;3.0
Caldense;Vasco da Gama;1.0;1.0
FC Cascavel;Figueirense FC;1.0;0.0
Peñarol-AM;Ypiranga-RS;1.0;1.0
Mirassol-SP;RB Bragantino;3.0;3.0
Porto Velho;Ferroviário;1.0;3.0
Palmas;Avaí FC;1.0;3.0
Ypiranga-AP;Santa Cruz;4.0;3.0
Jaraguá EC;Manaus FC;4.0;3.0
Goianésia (GO);CRB;3.0;3.0
Atlético-MG;Fortaleza;0.0;0.0
Santos;Athletico-PR;1.0;3.0
Atlético-MG;Fluminense;0.0;0.0
Flamengo;Grêmio;1.0;0.0
Athletico-PR;Santos;1.0;3.0
Grêmio;Flamengo;5.0;3.0
Fluminense;Criciúma EC;4.0;2.0
Grêmio;EC Vitória;0.0;0.0
EC Bahia;Atlético-MG;1.0;0.0
Juazeirense;Santos;6.0;4.0
ABC FC;Flamengo;3.0;6.0
Criciúma EC;Fluminense;3.0;3.0
Athletico-PR;Atlético-GO;1.0;0.0
Santos;Juazeirense;2.0;3.0
São Paulo;Vasco da Gama;4.0;3.0
Atlético-MG;EC Bahia;6.0;3.0
Flamengo;ABC FC;3.0;3.0
Santos;Cianorte;2.0;1.0
RB Bragantino;Fluminense;3.0;3.0
Atlético-GO;Corinthians;1.0;1.0
Brasiliense;Grêmio;2.0;4.0
Internacional;EC Vitória;3.0;3.0
Flamengo;Coritiba FC;0.0;0.0
Grêmio;Brasiliense;2.0;3.0
Fluminense;RB Bragantino;4.0;3.0
Cruzeiro;Juazeirense;2.0;3.0
EC Vitória;Internacional;1.0;3.0
Athletico-PR;Atlético-MG;2.0;3.0
CRB;Fortaleza;1.0;4.0
Atlético-GO;Athletico-PR;4.0;4.0
Vasco da Gama;São Paulo;3.0;6.0
EC Vitória;Grêmio;4.0;3.0
Fortaleza;CRB;5.0;3.0
São Paulo;4 de Julho;4.0;4.0
Vasco da Gama;Boavista;3.0;4.0
Atlético-MG;Remo;3.0;3.0
Cianorte;Santos;4.0;6.0
Boavista;Vasco da Gama;2.0;6.0
CRB;Palmeiras;1.0;3.0
Coritiba FC;Flamengo;4.0;6.0
Fluminense;Atlético-MG;2.0;3.0
4 de Julho;São Paulo;2.0;0.0
Remo;Atlético-MG;3.0;6.0
Corinthians;Atlético-GO;4.0;4.0
América-MG;CSA;0.0;0.0
Athletico-PR;Tocantinópolis;2.0;3.0
Juazeirense;Palmeiras;3.0;6.0
Ceará SC;Tombense;9.0;3.0
Flamengo;Altos;2.0;3.0
Vila Nova FC;Fluminense;4.0;7.0
Corinthians;Portuguesa-RJ;0.0;0.0
EC Vitória;Fortaleza;3.0;3.0
São Paulo;Juventude;2.0;3.0
Botafogo;Ceilândia;0.0;0.0
