home;away;weight1;weight2
Santos;Linense;7.0;1.0
Santo Andre;Ituano;14.0;17.0
Sao Bento;Corinthians;4.0;6.0
Novorizontino;Sao Bernardo;2.0;0.0
Mirassol;RB Brasil;6.0;6.0
Palmeiras;Botafogo SP;3.0;4.0
Audax-SP;Sao Paulo;11.0;6.0
Ponte Preta;Ferroviaria;4.0;3.0
RB Brasil;Santo Andre;4.0;5.0
Linense;Audax-SP;1.0;2.0
Ferroviaria;Mirassol;11.0;8.0
Botafogo SP;Novorizontino;7.0;5.0
Corinthians;Santo Andre;6.0;7.0
RB Brasil;Santos;7.0;10.0
Sao Paulo;Ponte Preta;9.0;10.0
Sao Bernardo;Sao Bento;4.0;4.0
Ituano;Palmeiras;20.0;22.0
Mirassol;Linense;2.0;1.0
Ferroviaria;Audax-SP;1.0;1.0
Ituano;Sao Bento;3.0;2.0
Corinthians;Novorizontino;3.0;4.0
Botafogo SP;Ponte Preta;10.0;19.0
Santos;Sao Paulo;18.0;18.0
Palmeiras;Sao Bernardo;1.0;1.0
Novorizontino;Ituano;4.0;4.0
Audax-SP;Corinthians;4.0;7.0
Sao Paulo;Mirassol;7.0;5.0
Sao Bento;Botafogo SP;5.0;10.0
Santos;Ferroviaria;9.0;8.0
Ponte Preta;RB Brasil;1.0;3.0
Santo Andre;Sao Bernardo;1.0;3.0
Linense;Palmeiras;11.0;10.0
Sao Paulo;Sao Bento;5.0;6.0
Ituano;Santos;14.0;23.0
Sao Bernardo;Mirassol;9.0;8.0
RB Brasil;Novorizontino;1.0;0.0
Linense;Ponte Preta;8.0;10.0
Ferroviaria;Santo Andre;10.0;9.0
Botafogo SP;Audax-SP;3.0;2.0
Corinthians;Palmeiras;16.0;19.0
Santo Andre;Linense;3.0;6.0
Palmeiras;Ferroviaria;5.0;5.0
Sao Bento;RB Brasil;9.0;9.0
Santos;Botafogo SP;6.0;9.0
Audax-SP;Ituano;1.0;0.0
Ponte Preta;Sao Bernardo;3.0;4.0
Novorizontino;Sao Paulo;9.0;9.0
Mirassol;Corinthians;13.0;22.0
Botafogo SP;Mirassol;15.0;11.0
RB Brasil;Palmeiras;7.0;7.0
Linense;Novorizontino;7.0;4.0
Sao Bernardo;Audax-SP;8.0;7.0
Corinthians;Santos;17.0;18.0
Sao Paulo;Santo Andre;3.0;3.0
Ituano;Ponte Preta;11.0;10.0
Ferroviaria;Sao Bento;4.0;8.0
Sao Bento;Linense;3.0;5.0
Novorizontino;Ferroviaria;3.0;2.0
Santo Andre;Botafogo SP;3.0;6.0
Palmeiras;Sao Paulo;6.0;15.0
Audax-SP;RB Brasil;5.0;3.0
Ponte Preta;Corinthians;22.0;23.0
Sao Bernardo;Santos;11.0;12.0
Mirassol;Ituano;7.0;12.0
RB Brasil;Sao Bernardo;4.0;3.0
Linense;Botafogo SP;4.0;5.0
Sao Paulo;Ituano;8.0;10.0
Mirassol;Santo Andre;8.0;8.0
Ponte Preta;Novorizontino;6.0;9.0
Audax-SP;Sao Bento;2.0;3.0
Ferroviaria;Corinthians;7.0;7.0
Santos;Palmeiras;20.0;27.0
Santo Andre;Ponte Preta;5.0;1.0
Novorizontino;Audax-SP;4.0;1.0
Ituano;Linense;2.0;3.0
Sao Bernardo;Ferroviaria;0.0;1.0
Sao Bento;Santos;14.0;16.0
Palmeiras;Mirassol;10.0;7.0
Botafogo SP;Sao Paulo;15.0;20.0
Corinthians;RB Brasil;4.0;6.0
Santo Andre;Santos;7.0;9.0
Palmeiras;Audax-SP;6.0;5.0
Linense;Sao Bernardo;10.0;10.0
Novorizontino;Mirassol;3.0;5.0
Ferroviaria;Ituano;11.0;9.0
Sao Paulo;Corinthians;23.0;33.0
Sao Bento;Ponte Preta;6.0;10.0
RB Brasil;Botafogo SP;3.0;3.0
Sao Bernardo;Sao Paulo;9.0;10.0
Santos;Novorizontino;13.0;14.0
Ponte Preta;Palmeiras;15.0;25.0
