home;away;weight1;weight2
Chapecoense;Palmeiras;19.0;26.0
Chapecoense;Avaí FC;3.0;7.0
Chapecoense;Grêmio;27.0;27.0
Chapecoense;Vasco da Gama;10.0;10.0
Chapecoense;Botafogo;9.0;19.0
Chapecoense;Atlético-MG;20.0;19.0
Chapecoense;Atlético-PR;12.0;14.0
Chapecoense;São Paulo;16.0;18.0
Chapecoense;Atlético-GO;5.0;8.0
Chapecoense;EC Bahia;10.0;13.0
Chapecoense;Corinthians;16.0;31.0
Chapecoense;Cruzeiro;16.0;15.0
Chapecoense;Ponte Preta;10.0;11.0
Chapecoense;Flamengo;29.0;32.0
Chapecoense;Fluminense;20.0;16.0
Chapecoense;Sport Recife;19.0;19.0
Chapecoense;Santos FC;15.0;23.0
Chapecoense;EC Vitória;10.0;13.0
Chapecoense;Coritiba FC;11.0;10.0
Palmeiras;Vasco da Gama;30.0;23.0
Palmeiras;Atlético-MG;45.0;48.0
Palmeiras;Fluminense;36.0;45.0
Palmeiras;Atlético-GO;16.0;15.0
Palmeiras;Corinthians;32.0;40.0
Palmeiras;EC Vitória;18.0;10.0
Palmeiras;Avaí FC;14.0;9.0
Palmeiras;Atlético-PR;32.0;32.0
Palmeiras;Chapecoense;16.0;14.0
Palmeiras;São Paulo;44.0;51.0
Palmeiras;Santos FC;47.0;49.0
Palmeiras;EC Bahia;16.0;14.0
Palmeiras;Cruzeiro;46.0;49.0
Palmeiras;Flamengo;49.0;46.0
Palmeiras;Sport Recife;32.0;30.0
Palmeiras;Botafogo;33.0;33.0
EC Bahia;Atlético-PR;14.0;18.0
EC Bahia;Atlético-GO;9.0;12.0
EC Bahia;Cruzeiro;27.0;33.0
EC Bahia;Palmeiras;26.0;29.0
EC Bahia;Flamengo;49.0;46.0
EC Bahia;Fluminense;25.0;37.0
EC Bahia;Sport Recife;15.0;25.0
EC Bahia;São Paulo;25.0;31.0
EC Bahia;Vasco da Gama;13.0;19.0
EC Bahia;Botafogo;25.0;21.0
EC Bahia;Grêmio;28.0;37.0
EC Bahia;Coritiba FC;19.0;18.0
EC Bahia;Corinthians;26.0;36.0
EC Bahia;EC Vitória;10.0;10.0
EC Bahia;Ponte Preta;2.0;5.0
EC Bahia;Atlético-MG;28.0;34.0
EC Bahia;Santos FC;32.0;36.0
EC Bahia;Chapecoense;7.0;13.0
EC Vitória;Corinthians;25.0;33.0
EC Vitória;Coritiba FC;11.0;14.0
Atlético-PR;Grêmio;34.0;48.0
Atlético-PR;Flamengo;33.0;33.0
Atlético-PR;Santos FC;49.0;56.0
Atlético-PR;São Paulo;30.0;36.0
Atlético-PR;EC Vitória;34.0;32.0
Atlético-PR;Cruzeiro;44.0;42.0
Atlético-PR;Botafogo;30.0;28.0
Atlético-PR;Ponte Preta;20.0;20.0
Atlético-PR;Avaí FC;11.0;13.0
Atlético-PR;EC Bahia;13.0;12.0
Atlético-PR;Coritiba FC;21.0;28.0
Atlético-PR;Fluminense;48.0;49.0
Atlético-PR;Atlético-MG;38.0;39.0
Atlético-PR;Atlético-GO;5.0;1.0
Atlético-PR;Sport Recife;12.0;22.0
Atlético-PR;Chapecoense;9.0;11.0
Atlético-PR;Corinthians;32.0;37.0
Atlético-PR;Vasco da Gama;28.0;26.0
Atlético-PR;Palmeiras;34.0;38.0
Grêmio;Botafogo;34.0;35.0
Grêmio;Vasco da Gama;35.0;37.0
Grêmio;EC Bahia;17.0;22.0
Grêmio;Coritiba FC;29.0;35.0
Grêmio;Corinthians;30.0;44.0
Grêmio;Avaí FC;13.0;9.0
Grêmio;Ponte Preta;14.0;15.0
Grêmio;Santos FC;28.0;34.0
Grêmio;Atlético-MG;40.0;37.0
Grêmio;Atlético-PR;19.0;24.0
Grêmio;Sport Recife;35.0;36.0
Grêmio;Chapecoense;18.0;12.0
Grêmio;Fluminense;40.0;42.0
Grêmio;Cruzeiro;41.0;47.0
Grêmio;Palmeiras;46.0;53.0
Grêmio;Flamengo;43.0;47.0
Grêmio;São Paulo;47.0;56.0
Grêmio;Atlético-GO;10.0;13.0
Corinthians;Chapecoense;6.0;7.0
Corinthians;Santos FC;41.0;46.0
Corinthians;São Paulo;49.0;54.0
Corinthians;Cruzeiro;29.0;42.0
Corinthians;EC Bahia;16.0;18.0
Corinthians;Botafogo;41.0;44.0
Corinthians;Ponte Preta;21.0;21.0
Corinthians;Atlético-PR;35.0;34.0
Corinthians;Flamengo;54.0;61.0
Corinthians;Sport Recife;23.0;23.0
Corinthians;EC Vitória;14.0;12.0
Corinthians;Atlético-GO;13.0;16.0
Corinthians;Vasco da Gama;25.0;20.0
Corinthians;Coritiba FC;19.0;14.0
Corinthians;Grêmio;40.0;47.0
Corinthians;Palmeiras;47.0;58.0
Corinthians;Avaí FC;14.0;14.0
Corinthians;Fluminense;41.0;52.0
Corinthians;Atlético-MG;40.0;47.0
Sport Recife;Chapecoense;13.0;13.0
Sport Recife;Palmeiras;33.0;33.0
Atlético-GO;Flamengo;22.0;27.0
Atlético-GO;Corinthians;17.0;22.0
Atlético-GO;EC Vitória;4.0;5.0
Atlético-GO;Cruzeiro;13.0;16.0
Atlético-GO;Vasco da Gama;9.0;20.0
Atlético-GO;São Paulo;23.0;24.0
Grêmio;EC Vitória;18.0;20.0
Vasco da Gama;EC Bahia;27.0;28.0
Vasco da Gama;Fluminense;33.0;31.0
Vasco da Gama;Corinthians;44.0;53.0
Vasco da Gama;Sport Recife;15.0;12.0
Vasco da Gama;Avaí FC;6.0;7.0
Vasco da Gama;Atlético-GO;5.0;8.0
Vasco da Gama;Flamengo;41.0;53.0
Vasco da Gama;Santos FC;41.0;42.0
Vasco da Gama;Grêmio;37.0;40.0
Vasco da Gama;Chapecoense;9.0;10.0
Vasco da Gama;São Paulo;54.0;56.0
Vasco da Gama;Atlético-MG;38.0;36.0
Vasco da Gama;Ponte Preta;21.0;18.0
Flamengo;Ponte Preta;18.0;25.0
Flamengo;Chapecoense;13.0;8.0
Flamengo;São Paulo;54.0;55.0
Flamengo;Grêmio;47.0;56.0
Flamengo;Palmeiras;46.0;49.0
Flamengo;Coritiba FC;37.0;33.0
Flamengo;EC Vitória;27.0;20.0
Flamengo;Atlético-GO;15.0;12.0
Flamengo;Atlético-PR;45.0;51.0
Flamengo;Sport Recife;20.0;16.0
Flamengo;Avaí FC;17.0;17.0
Flamengo;EC Bahia;28.0;16.0
Flamengo;Cruzeiro;37.0;48.0
Flamengo;Corinthians;49.0;49.0
Flamengo;Santos FC;42.0;43.0
EC Vitória;Atlético-MG;26.0;29.0
EC Vitória;Botafogo;29.0;23.0
EC Vitória;Santos FC;35.0;36.0
EC Vitória;EC Bahia;15.0;16.0
EC Vitória;Vasco da Gama;17.0;13.0
EC Vitória;Grêmio;29.0;32.0
EC Vitória;Chapecoense;7.0;10.0
EC Vitória;Ponte Preta;12.0;10.0
EC Vitória;Avaí FC;6.0;11.0
EC Vitória;Fluminense;34.0;34.0
EC Vitória;São Paulo;36.0;45.0
EC Vitória;Sport Recife;10.0;15.0
EC Vitória;Atlético-PR;35.0;26.0
EC Vitória;Atlético-GO;6.0;5.0
EC Vitória;Palmeiras;31.0;34.0
EC Vitória;Cruzeiro;34.0;38.0
EC Vitória;Flamengo;31.0;35.0
Santos FC;Coritiba FC;29.0;25.0
Santos FC;Cruzeiro;44.0;50.0
Santos FC;Palmeiras;47.0;40.0
Santos FC;Sport Recife;21.0;24.0
Santos FC;São Paulo;45.0;52.0
Santos FC;Chapecoense;6.0;11.0
Santos FC;Corinthians;43.0;43.0
Santos FC;Atlético-PR;27.0;29.0
Santos FC;Atlético-GO;13.0;13.0
Santos FC;Atlético-MG;53.0;47.0
Santos FC;Vasco da Gama;34.0;36.0
Santos FC;Grêmio;41.0;49.0
Santos FC;Avaí FC;16.0;8.0
Fluminense;Chapecoense;22.0;22.0
Fluminense;Cruzeiro;45.0;41.0
Atlético-MG;Fluminense;48.0;43.0
Atlético-MG;Ponte Preta;17.0;13.0
Atlético-MG;Avaí FC;11.0;10.0
Atlético-MG;Atlético-PR;32.0;42.0
Atlético-MG;Sport Recife;35.0;20.0
Atlético-MG;Cruzeiro;51.0;51.0
Atlético-MG;Santos FC;57.0;47.0
Atlético-MG;EC Bahia;20.0;19.0
Atlético-MG;Vasco da Gama;46.0;45.0
Atlético-MG;Flamengo;43.0;50.0
Atlético-MG;Palmeiras;43.0;48.0
Atlético-MG;EC Vitória;25.0;23.0
Atlético-MG;São Paulo;51.0;54.0
Atlético-MG;Chapecoense;17.0;16.0
Atlético-MG;Botafogo;51.0;52.0
Atlético-MG;Atlético-GO;20.0;9.0
Atlético-MG;Coritiba FC;31.0;33.0
Atlético-MG;Grêmio;55.0;58.0
Ponte Preta;Sport Recife;8.0;12.0
Ponte Preta;São Paulo;24.0;30.0
Ponte Preta;Chapecoense;7.0;5.0
Ponte Preta;Cruzeiro;37.0;35.0
Ponte Preta;Palmeiras;20.0;21.0
Ponte Preta;EC Bahia;9.0;14.0
Ponte Preta;Coritiba FC;17.0;19.0
Ponte Preta;Fluminense;21.0;22.0
Ponte Preta;Vasco da Gama;19.0;21.0
Ponte Preta;Botafogo;19.0;21.0
Ponte Preta;Atlético-MG;29.0;31.0
Ponte Preta;Atlético-GO;8.0;7.0
Ponte Preta;Flamengo;14.0;19.0
Ponte Preta;Santos FC;27.0;27.0
Ponte Preta;Avaí FC;3.0;7.0
Ponte Preta;Corinthians;29.0;27.0
Ponte Preta;Grêmio;19.0;24.0
Ponte Preta;Atlético-PR;29.0;23.0
Ponte Preta;EC Vitória;14.0;13.0
Avaí FC;EC Vitória;3.0;5.0
Avaí FC;Sport Recife;8.0;5.0
Avaí FC;Flamengo;27.0;20.0
Avaí FC;Fluminense;26.0;31.0
Avaí FC;Ponte Preta;3.0;4.0
Avaí FC;Coritiba FC;18.0;20.0
Avaí FC;Corinthians;23.0;23.0
Avaí FC;Cruzeiro;18.0;17.0
Avaí FC;Santos FC;25.0;23.0
Avaí FC;São Paulo;18.0;24.0
Avaí FC;Chapecoense;5.0;10.0
Avaí FC;Atlético-MG;23.0;28.0
Avaí FC;Atlético-GO;13.0;14.0
Avaí FC;Vasco da Gama;11.0;19.0
Avaí FC;Botafogo;16.0;21.0
Avaí FC;Grêmio;27.0;24.0
Avaí FC;EC Bahia;11.0;14.0
Avaí FC;Palmeiras;35.0;30.0
Avaí FC;Atlético-PR;12.0;16.0
Coritiba FC;Vasco da Gama;29.0;31.0
Flamengo;Atlético-MG;52.0;53.0
Flamengo;Fluminense;47.0;52.0
Flamengo;Vasco da Gama;29.0;32.0
Fluminense;Santos FC;53.0;49.0
Fluminense;EC Vitória;26.0;19.0
Fluminense;Atlético-PR;35.0;31.0
Fluminense;Grêmio;49.0;60.0
Fluminense;Flamengo;57.0;61.0
Fluminense;Botafogo;37.0;48.0
Fluminense;Corinthians;45.0;55.0
Fluminense;Atlético-GO;18.0;21.0
Fluminense;Atlético-MG;58.0;58.0
Fluminense;Vasco da Gama;43.0;52.0
Fluminense;Palmeiras;48.0;54.0
Fluminense;Avaí FC;10.0;10.0
Fluminense;São Paulo;47.0;50.0
Fluminense;EC Bahia;17.0;19.0
Fluminense;Coritiba FC;44.0;43.0
Fluminense;Ponte Preta;22.0;22.0
Fluminense;Sport Recife;18.0;21.0
Vasco da Gama;Botafogo;42.0;36.0
Vasco da Gama;Coritiba FC;28.0;28.0
Vasco da Gama;EC Vitória;28.0;28.0
Botafogo;Ponte Preta;14.0;18.0
Botafogo;EC Bahia;26.0;30.0
Botafogo;Coritiba FC;24.0;20.0
Botafogo;Vasco da Gama;38.0;36.0
Botafogo;Avaí FC;12.0;12.0
Botafogo;Atlético-MG;44.0;43.0
Botafogo;Sport Recife;18.0;17.0
Botafogo;São Paulo;55.0;54.0
Botafogo;Palmeiras;47.0;57.0
Botafogo;Grêmio;54.0;53.0
Botafogo;Flamengo;41.0;57.0
Botafogo;Santos FC;40.0;48.0
Botafogo;EC Vitória;30.0;26.0
Botafogo;Chapecoense;7.0;10.0
Botafogo;Corinthians;41.0;44.0
Botafogo;Fluminense;35.0;48.0
Botafogo;Atlético-PR;31.0;43.0
Botafogo;Atlético-GO;14.0;14.0
Botafogo;Cruzeiro;36.0;45.0
São Paulo;Avaí FC;8.0;12.0
São Paulo;Palmeiras;49.0;51.0
São Paulo;EC Vitória;16.0;9.0
São Paulo;Atlético-MG;41.0;51.0
São Paulo;Fluminense;57.0;59.0
São Paulo;Atlético-GO;20.0;15.0
São Paulo;Vasco da Gama;30.0;29.0
São Paulo;Grêmio;43.0;50.0
São Paulo;Coritiba FC;37.0;30.0
São Paulo;Cruzeiro;35.0;30.0
São Paulo;Ponte Preta;13.0;18.0
São Paulo;Corinthians;48.0;48.0
São Paulo;Sport Recife;10.0;11.0
São Paulo;EC Bahia;21.0;25.0
Sport Recife;Cruzeiro;21.0;34.0
Sport Recife;Grêmio;33.0;24.0
Sport Recife;Flamengo;37.0;43.0
Sport Recife;São Paulo;32.0;50.0
Sport Recife;EC Vitória;11.0;18.0
Sport Recife;Atlético-PR;15.0;22.0
Sport Recife;Atlético-GO;5.0;9.0
Sport Recife;Fluminense;36.0;39.0
Sport Recife;Ponte Preta;9.0;9.0
Sport Recife;Avaí FC;9.0;11.0
Sport Recife;Vasco da Gama;25.0;27.0
Sport Recife;Atlético-MG;44.0;41.0
Sport Recife;Santos FC;25.0;30.0
Sport Recife;Coritiba FC;19.0;18.0
Sport Recife;Botafogo;28.0;32.0
Sport Recife;EC Bahia;8.0;10.0
Sport Recife;Corinthians;37.0;35.0
EC Bahia;Avaí FC;6.0;2.0
Cruzeiro;São Paulo;52.0;66.0
Cruzeiro;Chapecoense;15.0;18.0
Cruzeiro;Atlético-GO;7.0;7.0
Cruzeiro;Grêmio;43.0;47.0
